_RAJ2000	_DEJ2000	nSFR	GLON	GLAT	Type	n_Name	Name	Comp	RA1950	DE1950	Band	Ref
266.15006	-29.46508	359.43-0.02	 	 	R	 	 	 	17 41 24.600	-29 26 40.000	5.0	87020
266.15006	-29.46508	359.43-0.02	359.430	-0.0850	M	 	H2CO	 	17 41 24.600	-29 26 40.000	4.830	87020
266.13922	-29.46402	359.43-0.02	359.430	-0.0850	R	 	 	 	17 41 22.000	-29 26 36.000	1.425	76054
266.14877	-29.45814	359.43-0.02	359.440	-0.0800	R	 	 	halo	17 41 24.300	-29 26 15.000	4.995	78018
266.14919	-29.45814	359.43-0.02	359.430	-0.0850	R	 	 	core	17 41 24.400	-29 26 15.000	4.8	89054
266.14877	-29.45814	359.43-0.02	359.430	-0.0850	R	 	 	core,1	17 41 24.300	-29 26 15.000	4.995	78018
266.14749	-29.45398	359.43-0.02	359.440	-0.0800	IR	 	 	 	17 41 24.000	-29 26 00.000	150	70015
266.13488	-29.43654	359.43-0.02	 	 	R	 	 	 	17 41 21.000	-29 24 57.000	5.01	85035
266.11770	-29.42245	359.45-0.04	 	 	R	 	SGR C	filament	17 41 16.900	-29 24 06.000	1.616	95042
266.11770	-29.42245	359.45-0.04	 	 	R	 	 	 	17 41 16.900	-29 24 06.000	1.616	95042
266.39275	-29.42084	359.69-0.23	359.581	-0.2430	IR	 	17423-2924	 	17 42 22.900	-29 24 05.000	100	86012
266.39275	-29.42084	359.69-0.23	359.581	-0.2430	IR	 	17423-2924	 	17 42 22.900	-29 24 05.000	60	86012
266.39275	-29.42084	359.69-0.23	359.581	-0.2430	IR	 	17423-2924	 	17 42 22.900	-29 24 05.000	25	86012
266.39275	-29.42084	359.69-0.23	359.581	-0.2430	IR	 	17423-2924	 	17 42 22.900	-29 24 05.000	12	86012
266.06387	-29.41105	359.44+0.01	359.439	0.0060	R	 	 	filament	17 41 04.000	-29 23 24.000	1.616	95042
266.06387	-29.41105	359.44+0.01	359.439	0.0060	R	 	 	 	17 41 04.000	-29 23 24.000	1.616	95042
266.05963	-29.40107	359.44+0.01	359.450	0.0100	IR	 	FIR 4	 	17 41 03.000	-29 22 48.000	69	84048
266.42217	-29.39459	359.69-0.23	359.615	-0.2430	M	 	OH-E	 	17 42 30.000	-29 22 31.000	1.665	83008
266.42217	-29.39459	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 30.000	-29 22 31.000	6.669	91049
266.42217	-29.39459	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 30.000	-29 22 31.000	44.06943	94056
266.42217	-29.39459	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 30.000	-29 22 31.000	44.06943	94056
266.42217	-29.39459	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 30.000	-29 22 31.000	44.06943	94056
266.41592	-29.39434	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 28.500	-29 22 30.000	12.17859	93072
266.42216	-29.39292	359.69-0.23	359.614	-0.2430	M	 	H2O-E	 	17 42 30.000	-29 22 25.000	22.23	83006
266.41257	-29.39191	359.69-0.23	359.614	-0.2430	R	 	 	 	17 42 27.700	-29 22 21.200	22	89009
266.41257	-29.39186	359.69-0.23	359.615	-0.2430	M	 	OH-E	 	17 42 27.700	-29 22 21.000	1.7	89009
266.41257	-29.39186	359.69-0.23	359.614	-0.2430	M	 	H2O-E	 	17 42 27.700	-29 22 21.000	22.23	89009
266.41286	-29.39166	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 27.770	-29 22 20.300	6.668	96026
266.41286	-29.39166	359.69-0.23	359.615	-0.2430	M	 	CH3OH	 	17 42 27.770	-29 22 20.300	107.0138	21
266.41286	-29.39166	359.69-0.23	359.615	-0.2430	M	 	CH3OH	 	17 42 27.770	-29 22 20.300	156.6024	21
266.41277	-29.39141	359.69-0.23	359.615	-0.2430	M	 	OH-E	 	17 42 27.750	-29 22 19.400	1.665	98003
266.41277	-29.39141	359.69-0.23	359.615	-0.2430	M	 	OH-E	 	17 42 27.750	-29 22 19.400	1.667	98003
266.41048	-29.39103	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 27.200	-29 22 18.000	6.668	95009
266.41048	-29.39103	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 27.200	-29 22 18.000	6.668	95090
266.41048	-29.39103	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 27.200	-29 22 18.000	12.17859	95090
266.41048	-29.39103	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 27.200	-29 22 18.000	12.17859	95082
266.41048	-29.39103	359.69-0.23	359.615	-0.2430	M	 	CH3OH-E	 	17 42 27.200	-29 22 18.000	12.17859	95082
266.13457	-29.38904	359.43-0.02	359.440	-0.0800	IR	 	 	 	17 41 21.000	-29 22 06.000	100	71010
266.65549	-29.38485	359.79-0.35	359.730	-0.4100	M	 	CO	 	17 43 26.000	-29 22 00.000	115.27	82004
266.64587	-29.37934	359.79-0.35	359.730	-0.4100	R	 	 	S29	17 43 23.700	-29 21 40.000	4.750	89061
266.64587	-29.37934	359.79-0.35	359.730	-0.4100	R	 	 	S29	17 43 23.700	-29 21 40.000	4.750	89061
266.46542	-29.37938	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 40.400	-29 21 37.000	2.695	90098
266.46542	-29.37938	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 40.400	-29 21 37.000	2.695	90098
266.64211	-29.37852	359.79-0.35	359.730	-0.4100	R	 	 	 	17 43 22.800	-29 21 37.000	4.875	80018
266.64211	-29.37852	359.79-0.35	359.730	-0.4100	M	 	H2CO	 	17 43 22.800	-29 21 37.000	4.830	80018
266.62459	-29.37527	359.79-0.35	359.725	-0.3920	IR	 	17433-2921	 	17 43 18.600	-29 21 25.000	100	86012
266.62459	-29.37527	359.79-0.35	359.725	-0.3920	IR	 	17433-2921	 	17 43 18.600	-29 21 25.000	60	86012
266.62459	-29.37527	359.79-0.35	359.725	-0.3920	IR	 	17433-2921	 	17 43 18.600	-29 21 25.000	25	86012
266.62459	-29.37527	359.79-0.35	359.725	-0.3920	IR	 	17433-2921	 	17 43 18.600	-29 21 25.000	12	86012
266.44704	-29.37336	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 36.000	-29 21 15.000	4.875	78000
266.44704	-29.37336	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 36.000	-29 21 15.000	4.875	80018
266.44704	-29.37336	359.69-0.23	359.640	-0.2300	M	 	H2CO	 	17 42 36.000	-29 21 15.000	4.830	80018
266.42245	-29.37320	359.69-0.23	359.635	-0.2410	IR	 	17425-2921	 	17 42 30.100	-29 21 14.000	100	86012
266.42245	-29.37320	359.69-0.23	359.635	-0.2410	IR	 	17425-2921	 	17 42 30.100	-29 21 14.000	60	86012
266.42245	-29.37320	359.69-0.23	359.635	-0.2410	IR	 	17425-2921	 	17 42 30.100	-29 21 14.000	25	86012
266.42245	-29.37320	359.69-0.23	359.635	-0.2410	IR	 	17425-2921	 	17 42 30.100	-29 21 14.000	12	86012
266.44578	-29.37197	359.69-0.23	359.641	-0.2410	R	 	 	S19	17 42 35.700	-29 21 10.000	4.750	89061
266.62867	-29.36875	359.79-0.35	359.732	-0.3920	IR	 	 	IRS	17 43 19.590	-29 21 01.600	2.2	88026
266.62867	-29.36875	359.79-0.35	359.732	-0.3920	IR	 	 	IRS	17 43 19.590	-29 21 01.600	1.65	88026
266.62867	-29.36875	359.79-0.35	359.732	-0.3920	IR	 	 	IRS	17 43 19.590	-29 21 01.600	1.25	88026
266.42617	-29.36846	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 31.000	-29 20 57.000	1.616	95042
266.42617	-29.36846	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 31.000	-29 20 57.000	1.616	95042
266.40949	-29.36604	359.69-0.23	359.640	-0.2300	IR	 	FIR 11	 	17 42 27.000	-29 20 48.000	69	84048
266.19819	-29.36651	359.55-0.07	 	 	R	 	 	S3	17 41 36.300	-29 20 46.000	4.750	89061
266.19819	-29.36651	359.55-0.07	 	 	R	 	 	S3	17 41 36.300	-29 20 46.000	4.750	89061
266.20023	-29.35900	359.55-0.07	 	 	R	 	 	S3	17 41 36.800	-29 20 19.000	4.875	78000
266.19689	-29.35790	359.55-0.07	 	 	R	 	 	S3	17 41 36.000	-29 20 15.000	10.700	89061
266.19689	-29.35790	359.55-0.07	 	 	R	 	 	S3	17 41 36.000	-29 20 15.000	10.700	89061
266.20522	-29.35703	359.55-0.07	359.550	-0.0700	IR	 	FIR 5	 	17 41 38.000	-29 20 12.000	69	84048
266.20522	-29.35703	359.55-0.07	359.550	-0.0700	IR	 	FIR 5	 	17 41 38.000	-29 20 12.000	69	84048
266.21657	-29.35370	359.55-0.07	359.558	-0.0770	R	 	 	 	17 41 40.730	-29 20 00.200	4.9	94004
266.21657	-29.35370	359.55-0.07	359.558	-0.0770	R	 	 	 	17 41 40.730	-29 20 00.200	1.44	94004
266.21657	-29.35370	359.55-0.07	359.558	-0.0770	R	 	 	 	17 41 40.730	-29 20 00.200	4.9	94004
266.20644	-29.35174	359.55-0.07	359.563	-0.0820	IR	 	17417-2919	 	17 41 38.300	-29 19 53.000	100	86012
266.20644	-29.35174	359.55-0.07	359.563	-0.0820	IR	 	17417-2919	 	17 41 38.300	-29 19 53.000	60	86012
266.20644	-29.35174	359.55-0.07	359.563	-0.0820	IR	 	17417-2919	 	17 41 38.300	-29 19 53.000	25	86012
266.20644	-29.35174	359.55-0.07	359.563	-0.0820	IR	 	17417-2919	 	17 41 38.300	-29 19 53.000	12	86012
266.60937	-29.34174	359.79-0.35	359.730	-0.4100	R	 	 	 	17 43 15.000	-29 19 24.000	22.2	86050
266.46344	-29.33105	359.69-0.23	359.641	-0.2410	R	 	 	 	17 42 40.000	-29 18 43.000	5.01	85035
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	100	93086
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	60	93086
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	25	93086
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	12	93086
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	100	86012
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	60	86012
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	25	86012
266.19587	-29.32930	359.57-0.05	359.569	-0.0490	IR	 	17415-2918	 	17 41 35.800	-29 18 32.000	12	86012
266.44669	-29.31919	359.69-0.23	 	 	O	 	RCW 137	 	17 42 36.000	-29 18 00.000	0.6563	60001
266.61881	-29.31836	359.79-0.35	359.730	-0.4100	R	 	 	 	17 43 17.300	-29 18 00.000	8.35	10
266.61881	-29.31836	359.79-0.35	359.730	-0.4100	R	 	 	 	17 43 17.300	-29 18 00.000	8.35	10
266.21158	-29.30894	359.60-0.05	 	 	R	 	 	S4	17 41 39.600	-29 17 19.000	10.700	89061
266.21158	-29.30894	359.60-0.05	 	 	R	 	 	S4	17 41 39.600	-29 17 19.000	10.700	89061
266.17298	-29.30718	359.57-0.05	359.578	-0.0210	M	 	H2O-E	 	17 41 30.340	-29 17 12.000	22.2	93086
266.62162	-29.30168	359.79-0.35	 	 	O	 	S 16,Gum 70	 	17 43 18.000	-29 17 00.000	0.6563	75034
266.59651	-29.28513	359.79-0.35	359.780	-0.3200	O	 	vdB-H 222	cluster	17 43 12.000	-29 16 00.000	0.6563	87065
266.26848	-29.27894	359.65-0.06	359.646	-0.0780	R	 	 	 	17 41 53.300	-29 15 32.000	1.616	95042
266.26848	-29.27894	359.65-0.06	359.646	-0.0780	R	 	 	 	17 41 53.300	-29 15 32.000	1.616	95042
266.16720	-29.27749	359.43-0.02	359.430	-0.0850	M	 	H2CO	 	17 41 29.000	-29 15 25.000	4.830	72025
266.16720	-29.27749	359.65-0.06	359.600	0.0000	M	 	H2CO	 	17 41 29.000	-29 15 25.000	4.830	72025
266.25180	-29.27680	359.65-0.06	 	 	R	 	 	 	17 41 49.300	-29 15 24.000	4.875	78018
266.25180	-29.27680	359.65-0.06	 	 	R	 	 	 	17 41 49.300	-29 15 24.000	10.7	78018
266.24344	-29.27323	359.65-0.06	359.639	-0.0550	IR	 	 	IRS	17 41 47.300	-29 15 11.000	4.8	88035
266.24344	-29.27323	359.65-0.06	359.639	-0.0550	IR	 	 	IRS	17 41 47.300	-29 15 11.000	3.5	88035
266.24344	-29.27323	359.65-0.06	359.639	-0.0550	IR	 	 	IRS	17 41 47.300	-29 15 11.000	2.2	88035
266.24344	-29.27323	359.65-0.06	359.639	-0.0550	IR	 	 	IRS	17 41 47.300	-29 15 11.000	1.65	88035
266.24344	-29.27323	359.65-0.06	359.639	-0.0550	IR	 	 	IRS	17 41 47.300	-29 15 11.000	1.25	88035
266.24635	-29.27183	359.65-0.06	359.641	-0.0570	IR	 	FIR 6	 	17 41 48.000	-29 15 06.000	69	84048
266.24626	-29.27130	359.65-0.06	359.642	-0.0560	M	 	H2O-E	 	17 41 47.980	-29 15 04.100	22.2	93086
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	100	93086
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	60	93086
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	25	93086
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	12	93086
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	100	86012
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	60	86012
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	25	86012
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	IR	 	17418-2914	 	17 41 49.200	-29 14 53.000	12	86012
266.25133	-29.26819	359.65-0.06	359.647	-0.0590	M	 	CS	 	17 41 49.200	-29 14 53.000	97.981	96005
266.24758	-29.26821	359.65-0.06	359.645	-0.0560	R	 	 	2	17 41 48.300	-29 14 53.000	4.995	78018
266.26383	-29.26813	359.65-0.06	359.655	-0.0660	R	 	 	3	17 41 52.200	-29 14 53.000	4.995	78018
266.24758	-29.26793	359.65-0.06	359.645	-0.0560	R	 	 	 	17 41 48.300	-29 14 52.000	1.616	95042
266.24758	-29.26793	359.65-0.06	359.645	-0.0560	R	 	 	 	17 41 48.300	-29 14 52.000	1.616	95042
266.26415	-29.26535	359.65-0.06	359.655	-0.0660	R	 	 	 	17 41 52.280	-29 14 43.000	4.9	94004
266.26415	-29.26535	359.65-0.06	359.655	-0.0660	R	 	 	 	17 41 52.280	-29 14 43.000	1.44	94004
266.26415	-29.26535	359.65-0.06	359.655	-0.0660	R	 	 	 	17 41 52.280	-29 14 43.000	4.9	94004
266.26423	-29.26480	359.65-0.06	359.655	-0.0660	R	 	 	 	17 41 52.300	-29 14 41.000	1.616	95042
266.30797	-29.26236	359.73-0.07	 	 	R	 	 	S11	17 42 02.800	-29 14 33.000	10.700	89061
266.30797	-29.26236	359.73-0.07	 	 	R	 	 	S11	17 42 02.800	-29 14 33.000	10.700	89061
266.14275	-29.23344	359.63+0.03	 	 	R	 	 	S1	17 41 23.200	-29 12 46.000	4.750	89061
266.14275	-29.23344	359.63+0.03	 	 	R	 	 	S1	17 41 23.200	-29 12 46.000	4.750	89061
266.14233	-29.23205	359.63+0.03	 	 	R	 	 	S1	17 41 23.100	-29 12 41.000	10.700	89061
266.14233	-29.23205	359.63+0.03	 	 	R	 	 	S1	17 41 23.100	-29 12 41.000	10.700	89061
266.32647	-29.22311	359.72-0.08	 	 	R	 	 	S12	17 42 07.300	-29 12 12.000	10.700	89061
266.32647	-29.22311	359.72-0.08	 	 	R	 	 	S12	17 42 07.300	-29 12 12.000	10.700	89061
266.94614	-29.21677	0.01-0.55	 	 	O	 	S 18	 	17 44 36.000	-29 12 00.000	0.6563	82004
266.94614	-29.21677	0.01-0.55	 	 	O	 	 	 	17 44 36.000	-29 12 00.000	0.6563	90032
266.83362	-29.21731	0.01-0.55	0.050	-0.5400	M	 	CO	 	17 44 09.000	-29 12 00.000	115.27	82004
266.33726	-29.21444	359.72-0.08	359.732	-0.0950	R	 	 	 	17 42 09.900	-29 11 41.000	1.616	95042
266.33726	-29.21444	359.72-0.08	359.732	-0.0950	R	 	 	 	17 42 09.900	-29 11 41.000	1.616	95042
266.35808	-29.21323	359.74-0.11	359.742	-0.1090	IR	 	17422-2911	 	17 42 14.900	-29 11 37.000	100	86012
266.35808	-29.21323	359.74-0.11	359.742	-0.1090	IR	 	17422-2911	 	17 42 14.900	-29 11 37.000	60	86012
266.35808	-29.21323	359.74-0.11	359.742	-0.1090	IR	 	17422-2911	 	17 42 14.900	-29 11 37.000	25	86012
266.35808	-29.21323	359.74-0.11	359.742	-0.1090	IR	 	17422-2911	 	17 42 14.900	-29 11 37.000	12	86012
266.27223	-29.21198	359.72-0.04	 	 	R	 	 	 	17 41 54.300	-29 11 31.000	2.695	90098
266.27223	-29.21198	359.72-0.04	 	 	R	 	 	 	17 41 54.300	-29 11 31.000	2.695	90098
